method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.9,j10,1100,1020,0.9272727272727272,ALL
proactive_quantile_0.9,j20,750,658,0.8773333333333333,ALL
reactive,j10,1100,925,0.8409090909090909,ALL
reactive,j20,750,525,0.7,ALL
stnu,j10,1180,786,0.6661016949152543,ALL
stnu,j20,800,516,0.645,ALL
proactive_quantile_0.9,j10,590,559,0.9474576271186441,1
proactive_quantile_0.9,j10,510,461,0.903921568627451,2
proactive_quantile_0.9,j20,410,372,0.9073170731707317,1
proactive_quantile_0.9,j20,340,286,0.8411764705882353,2
reactive,j10,590,517,0.8762711864406779,1
reactive,j10,510,408,0.8,2
reactive,j20,410,315,0.7682926829268293,1
reactive,j20,340,210,0.6176470588235294,2
stnu,j10,660,455,0.6893939393939394,1
stnu,j10,520,331,0.6365384615384615,2
stnu,j20,480,280,0.5833333333333334,1
stnu,j20,320,236,0.7375,2
