method,instance_folder,count,sum,ratio,noise_factor
proactive_quantile_0.75,j10,640,235,0.3671875,ALL
proactive_quantile_0.75,j20,490,119,0.24285714285714285,ALL
reactive,j10,640,63,0.0984375,ALL
reactive,j20,490,2,0.004081632653061225,ALL
stnu,j10,670,435,0.6492537313432836,ALL
stnu,j20,510,293,0.5745098039215686,ALL
proactive_quantile_0.75,j10,640,235,0.3671875,1
proactive_quantile_0.75,j20,490,119,0.24285714285714285,1
reactive,j10,640,63,0.0984375,1
reactive,j20,490,2,0.004081632653061225,1
stnu,j10,670,435,0.6492537313432836,1
stnu,j20,510,293,0.5745098039215686,1
