method_1,method_2,metric,p_value,significant,better,sum_pos_ranks,sum_neg_ranks,n_pairs
proactive_quantile_0.50,proactive_quantile_0.50,obj,,False,,,,0
proactive_quantile_0.50,reactive,obj,0.11845018652901909,False,proactive_quantile_0.50,1133.5,679.5,61
proactive_quantile_0.50,stnu,obj,3.2837384889569597e-12,True,proactive_quantile_0.50,37603.5,13291.5,320
reactive,proactive_quantile_0.50,obj,0.11845018652901909,False,proactive_quantile_0.50,679.5,1133.5,61
reactive,reactive,obj,,False,,,,0
reactive,stnu,obj,0.721796524146211,False,stnu,204.5,205.5,30
stnu,proactive_quantile_0.50,obj,3.2837384889569597e-12,True,proactive_quantile_0.50,13291.5,37603.5,320
stnu,reactive,obj,0.721796524146211,False,stnu,205.5,204.5,30
stnu,stnu,obj,,False,,,,0
proactive_quantile_0.50,proactive_quantile_0.50,time_online,,False,,,,0
proactive_quantile_0.50,reactive,time_online,1.1111647363502784e-11,True,proactive_quantile_0.50,1891.0,0.0,61
proactive_quantile_0.50,stnu,time_online,3.258866789206682e-54,True,proactive_quantile_0.50,51360.0,0.0,320
reactive,proactive_quantile_0.50,time_online,1.1111647363502784e-11,True,proactive_quantile_0.50,0.0,1891.0,61
reactive,reactive,time_online,,False,,,,0
reactive,stnu,time_online,3.725290298461914e-09,True,stnu,1.0,464.0,30
stnu,proactive_quantile_0.50,time_online,3.258866789206682e-54,True,proactive_quantile_0.50,0.0,51360.0,320
stnu,reactive,time_online,3.725290298461914e-09,True,stnu,464.0,1.0,30
stnu,stnu,time_online,,False,,,,0
proactive_quantile_0.50,proactive_quantile_0.50,time_offline,,False,,,,0
proactive_quantile_0.50,reactive,time_offline,,False,,,,0
proactive_quantile_0.50,stnu,time_offline,0.0,True,proactive_quantile_0.50,2978020.0,0.0,2440
reactive,proactive_quantile_0.50,time_offline,,False,,,,0
reactive,reactive,time_offline,,False,,,,0
reactive,stnu,time_offline,7.577765262336002e-12,True,reactive,1953.0,0.0,62
stnu,proactive_quantile_0.50,time_offline,0.0,True,proactive_quantile_0.50,0.0,2978020.0,2440
stnu,reactive,time_offline,7.577765262336002e-12,True,reactive,0.0,1953.0,62
stnu,stnu,time_offline,,False,,,,0
