instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,estimated_durations,obj_pi,estimated_start_times,time_limit_rescheduling,time_limit_cp_stnu,can_build_stnu,dc
j10,32,2,proactive_quantile_0.9,600.0,False,inf,inf,inf,,"[0, 5, 1, 2, 2, 10, 1, 7, 6, 10, 2, 0]",quantile_0.9,"[0, 13, 3, 7, 3, 14, 5, 7, 7, 10, 3, 0]",49.0,,,,,
j10,32,2,proactive_quantile_0.9,600.0,False,inf,inf,inf,,"[0, 11, 1, 3, 3, 10, 2, 4, 5, 11, 3, 0]",quantile_0.9,"[0, 13, 3, 7, 3, 14, 5, 7, 7, 10, 3, 0]",52.0,,,,,
j10,32,2,proactive_quantile_0.9,600.0,False,inf,inf,inf,,"[0, 3, 1, 2, 2, 6, 1, 1, 6, 7, 1, 0]",quantile_0.9,"[0, 13, 3, 7, 3, 14, 5, 7, 7, 10, 3, 0]",46.0,,,,,
j10,32,2,reactive,600.0,False,inf,inf,inf,,"[0, 5, 1, 2, 2, 10, 1, 7, 6, 10, 2, 0]",quantile_0.9,"[0, 13, 3, 7, 3, 14, 5, 7, 7, 10, 3, 0]",49.0,,2.0,,,
j10,32,2,reactive,600.0,False,inf,inf,inf,,"[0, 11, 1, 3, 3, 10, 2, 4, 5, 11, 3, 0]",quantile_0.9,"[0, 13, 3, 7, 3, 14, 5, 7, 7, 10, 3, 0]",52.0,,2.0,,,
j10,32,2,reactive,600.0,False,inf,inf,inf,,"[0, 3, 1, 2, 2, 6, 1, 1, 6, 7, 1, 0]",quantile_0.9,"[0, 13, 3, 7, 3, 14, 5, 7, 7, 10, 3, 0]",46.0,,2.0,,,
j10,32,2,proactive_SAA_smart,1800.0,False,inf,inf,inf,,"[0, 5, 1, 2, 2, 10, 1, 7, 6, 10, 2, 0]",SAA_smart,,49.0,,,,,
j10,32,2,proactive_SAA_smart,1800.0,False,inf,inf,inf,,"[0, 11, 1, 3, 3, 10, 2, 4, 5, 11, 3, 0]",SAA_smart,,52.0,,,,,
j10,32,2,proactive_SAA_smart,1800.0,False,inf,inf,inf,,"[0, 3, 1, 2, 2, 6, 1, 1, 6, 7, 1, 0]",SAA_smart,,46.0,,,,,
j10,32,2,STNU_robust,,False,inf,inf,inf,,"[0, 5, 1, 2, 2, 10, 1, 7, 6, 10, 2, 0]",robust,,49.0,,,600.0,,False
