instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j20,1,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 5, 1, 15, 2, 5, 2, 11, 3, 5, 2, 3, 10, 1, 7, 1, 2, 3, 7, 7, 3, 0]",quantile_0.9,56.0
j20,1,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 8, 1, 9, 2, 3, 5, 9, 1, 8, 2, 2, 5, 2, 6, 1, 3, 1, 8, 6, 1, 0]",quantile_0.9,51.0
j20,2,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 6, 14, 10, 2, 4, 7, 8, 2, 3, 2, 1, 2, 9, 2, 1, 5, 7, 6, 5, 5, 0]",quantile_0.9,49.0
j20,3,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 13, 2, 9, 8, 8, 3, 2, 6, 5, 1, 9, 7, 6, 8, 7, 3, 14, 6, 14, 6, 0]",quantile_0.9,90.0
j20,3,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 11, 6, 5, 8, 8, 6, 2, 1, 4, 1, 11, 8, 3, 10, 9, 5, 3, 2, 15, 2, 0]",quantile_0.9,76.0
j20,3,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 4, 12, 5, 7, 1, 8, 2, 3, 3, 2, 5, 11, 2, 10, 9, 6, 10, 1, 12, 4, 0]",quantile_0.9,87.0
j20,3,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 12, 3, 5, 5, 4, 8, 1, 4, 10, 2, 3, 8, 7, 8, 5, 6, 11, 6, 11, 6, 0]",quantile_0.9,81.0
j20,3,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 14, 3, 2, 9, 7, 9, 1, 5, 12, 2, 4, 5, 4, 3, 4, 6, 4, 3, 7, 4, 0]",quantile_0.9,67.0
j20,4,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 1, 4, 11, 2, 1, 7, 3, 8, 2, 2, 1, 9, 2, 2, 1, 13, 5, 1, 6, 0]",quantile_0.9,58.0
j20,4,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 2, 3, 1, 5, 2, 2, 3, 3, 12, 1, 2, 3, 8, 2, 1, 2, 8, 4, 7, 11, 0]",quantile_0.9,54.0
j20,4,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 3, 8, 8, 2, 2, 4, 1, 13, 7, 1, 1, 8, 2, 2, 2, 6, 1, 1, 9, 0]",quantile_0.9,48.0
j20,4,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 1, 3, 7, 3, 1, 1, 3, 8, 2, 3, 1, 7, 1, 1, 2, 4, 3, 2, 8, 0]",quantile_0.9,41.0
j20,4,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 3, 1, 8, 2, 1, 2, 2, 10, 1, 2, 2, 2, 3, 2, 1, 7, 7, 6, 11, 0]",quantile_0.9,44.0
j20,5,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 2, 9, 2, 6, 1, 1, 2, 10, 2, 5, 9, 11, 3, 7, 1, 8, 4, 7, 3, 5, 0]",quantile_0.9,77.0
j20,5,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 3, 10, 1, 7, 10, 4, 2, 10, 2, 5, 14, 7, 4, 9, 1, 3, 4, 13, 8, 8, 0]",quantile_0.9,86.0
j20,5,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 2, 8, 4, 11, 1, 9, 2, 10, 2, 2, 6, 2, 9, 9, 1, 8, 8, 5, 6, 4, 0]",quantile_0.9,77.0
j20,5,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 2, 5, 10, 9, 3, 2, 4, 3, 5, 10, 4, 7, 3, 2, 5, 8, 9, 3, 8, 0]",quantile_0.9,73.0
j20,5,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 2, 2, 9, 8, 1, 1, 13, 2, 4, 7, 4, 1, 14, 2, 8, 3, 5, 5, 4, 0]",quantile_0.9,74.0
j20,6,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 4, 7, 8, 9, 5, 7, 8, 10, 2, 5, 12, 1, 5, 3, 3, 6, 13, 8, 3, 2, 0]",quantile_0.9,82.0
j20,6,2,proactive_quantile_0.9,60,False,inf,inf,inf,,"[0, 3, 9, 8, 1, 7, 8, 2, 13, 1, 7, 3, 7, 6, 6, 4, 3, 4, 6, 6, 3, 0]",quantile_0.9,82.0
