instance_folder,instance_id,noise_factor,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
j10,1,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 4, 15, 1, 2, 4, 6, 3, 1, 2, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]",,inf,inf,quantile_0.9,"[0, 4, 15, 1, 2, 4, 8, 14, 3, 9, 1, 0]",26.0
j10,1,2,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 5, 9, 2, 3, 5, 7, 8, 3, 5, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 22, 14, 24, 15, 8, 27]",0.029999494552612305,0.14299678802490234,quantile_0.9,"[0, 5, 9, 2, 3, 5, 8, 8, 3, 5, 2, 0]",27.0
j10,1,2,32.0,reactive_quantile_0.9,2,60,1,True,"[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 24, 14, 24, 15, 8, 29]",0.0350034236907959,0.14631962776184082,quantile_0.9,"[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]",31.0
j10,1,2,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 9, 14, 24, 15, 8, 26]",0.029000043869018555,0.2824225425720215,quantile_0.9,"[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]",26.0
j10,1,2,31.0,reactive_quantile_0.9,2,60,1,True,"[0, 1, 6, 3, 2, 1, 7, 10, 3, 6, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 24, 14, 24, 15, 8, 29]",0.029020071029663086,0.19766783714294434,quantile_0.9,"[0, 1, 6, 3, 2, 1, 8, 10, 3, 6, 2, 0]",27.0
j10,1,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 2, 6, 5, 1, 2, 4, 15, 3, 5, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]",,inf,inf,quantile_0.9,"[0, 2, 6, 5, 1, 2, 8, 15, 3, 5, 1, 0]",29.0
j10,1,2,27.0,reactive_quantile_0.9,2,60,1,True,"[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 12, 14, 24, 15, 8, 26]",0.02818918228149414,0.2138659954071045,quantile_0.9,"[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]",27.0
j10,1,2,26.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 9, 14, 24, 15, 8, 26]",0.029991626739501953,0.25038790702819824,quantile_0.9,"[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]",26.0
j10,1,2,28.0,reactive_quantile_0.9,2,60,1,True,"[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 23, 14, 24, 15, 8, 28]",0.02999258041381836,0.22833776473999023,quantile_0.9,"[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]",26.0
j10,1,2,29.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 4, 4, 1, 1, 6, 9, 1, 6, 1, 0]","[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 6, 0, 0, 0, 7, 23, 14, 24, 15, 8, 28]",0.0279996395111084,0.2554049491882324,quantile_0.9,"[0, 2, 4, 4, 1, 1, 8, 9, 1, 6, 1, 0]",26.0
j10,3,2,45.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 9, 2, 14, 6, 1, 1, 2, 15, 8, 0]","[0, 20, 0, 22, 25, 11, 20, 22, 36, 30, 27, 41]","[0, 20, 0, 22, 25, 11, 20, 22, 36, 30, 27, 41]",0.029999256134033203,0.22765803337097168,quantile_0.9,"[0, 2, 9, 2, 14, 6, 1, 1, 2, 14, 8, 0]",37.0
j10,3,2,45.0,reactive_quantile_0.9,2,60,1,True,"[0, 2, 7, 2, 5, 5, 3, 5, 4, 15, 3, 0]","[0, 20, 0, 22, 25, 11, 20, 22, 36, 30, 27, 41]","[0, 20, 0, 22, 25, 11, 20, 22, 30, 30, 27, 40]",0.029001712799072266,0.22523188591003418,quantile_0.9,"[0, 2, 7, 2, 5, 5, 3, 5, 4, 14, 3, 0]",41.0
