,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
0,j10,1,0.5,0,"[0, 2, 9, 2, 2, 2, 3, 8, 1, 5, 1, 0]",600,0.0,26.0,0.084,Optimal
1,j10,1,0.5,1,"[0, 2, 9, 2, 2, 2, 3, 8, 1, 5, 1, 0]",600,0.0,26.0,0.006,Optimal
2,j10,1,0.5,2,"[0, 2, 8, 2, 2, 2, 4, 8, 1, 6, 1, 0]",600,0.0,26.0,0.006,Optimal
3,j10,1,0.5,3,"[0, 2, 9, 2, 2, 2, 5, 8, 1, 6, 1, 0]",600,0.0,26.0,0.006,Optimal
4,j10,1,0.5,4,"[0, 2, 9, 2, 2, 2, 5, 8, 1, 4, 1, 0]",600,0.0,26.0,0.005,Optimal
5,j10,1,0.5,5,"[0, 2, 10, 2, 2, 2, 3, 9, 1, 6, 1, 0]",600,0.0,26.0,0.005,Optimal
6,j10,1,0.5,6,"[0, 2, 10, 2, 2, 2, 3, 9, 1, 5, 1, 0]",600,0.0,26.0,0.006,Optimal
7,j10,1,0.5,7,"[0, 2, 10, 2, 2, 2, 3, 10, 1, 5, 1, 0]",600,0.0,26.0,0.006,Optimal
8,j10,1,0.5,8,"[0, 2, 9, 2, 2, 2, 4, 9, 1, 6, 1, 0]",600,0.0,26.0,0.006,Optimal
9,j10,1,0.5,9,"[0, 2, 9, 2, 2, 2, 4, 8, 1, 4, 1, 0]",600,0.0,26.0,0.006,Optimal
10,j10,2,0.5,0,"[0, 4, 7, 8, 1, 8, 9, 1, 7, 6, 8, 0]",600,,,0.01,Infeasible
11,j10,2,0.5,1,"[0, 3, 8, 8, 1, 9, 9, 1, 9, 6, 9, 0]",600,,,0.003,Infeasible
12,j10,2,0.5,2,"[0, 4, 9, 8, 1, 7, 10, 1, 7, 7, 9, 0]",600,,,0.003,Infeasible
13,j10,2,0.5,3,"[0, 3, 7, 9, 1, 8, 10, 1, 7, 8, 8, 0]",600,,,0.003,Infeasible
14,j10,2,0.5,4,"[0, 4, 8, 9, 1, 9, 9, 1, 8, 6, 7, 0]",600,,,0.003,Infeasible
15,j10,2,0.5,5,"[0, 4, 7, 8, 1, 8, 10, 1, 8, 6, 9, 0]",600,,,0.003,Infeasible
16,j10,2,0.5,6,"[0, 4, 9, 9, 1, 8, 9, 1, 7, 6, 8, 0]",600,,,0.003,Infeasible
17,j10,2,0.5,7,"[0, 4, 7, 10, 1, 7, 8, 1, 8, 7, 9, 0]",600,,,0.003,Infeasible
18,j10,2,0.5,8,"[0, 4, 7, 8, 1, 8, 10, 1, 9, 7, 7, 0]",600,,,0.003,Infeasible
19,j10,2,0.5,9,"[0, 3, 8, 10, 1, 8, 8, 1, 8, 7, 9, 0]",600,,,0.002,Infeasible
20,j10,3,0.5,0,"[0, 1, 6, 2, 7, 4, 2, 4, 4, 8, 4, 0]",600,0.0,35.0,0.016,Optimal
21,j10,3,0.5,1,"[0, 1, 6, 2, 7, 5, 2, 3, 5, 9, 6, 0]",600,0.0,34.0,0.007,Optimal
22,j10,3,0.5,2,"[0, 1, 5, 2, 9, 5, 2, 5, 3, 8, 6, 0]",600,0.0,36.0,0.007,Optimal
23,j10,3,0.5,3,"[0, 1, 5, 2, 8, 6, 2, 5, 3, 9, 5, 0]",600,0.0,36.0,0.007,Optimal
24,j10,3,0.5,4,"[0, 1, 7, 2, 7, 6, 2, 4, 4, 9, 5, 0]",600,0.0,35.0,0.008,Optimal
25,j10,3,0.5,5,"[0, 1, 7, 2, 8, 5, 2, 3, 3, 9, 4, 0]",600,0.0,34.0,0.007,Optimal
26,j10,3,0.5,6,"[0, 1, 5, 2, 8, 6, 2, 4, 3, 10, 6, 0]",600,0.0,35.0,0.007,Optimal
27,j10,3,0.5,7,"[0, 1, 6, 2, 8, 5, 2, 3, 3, 9, 4, 0]",600,0.0,34.0,0.007,Optimal
28,j10,3,0.5,8,"[0, 1, 7, 2, 7, 4, 2, 4, 4, 10, 4, 0]",600,0.0,35.0,0.007,Optimal
29,j10,3,0.5,9,"[0, 1, 5, 2, 8, 6, 2, 5, 4, 8, 6, 0]",600,0.0,36.0,0.008,Optimal
30,j10,4,0.5,0,"[0, 7, 1, 3, 2, 6, 1, 4, 5, 8, 5, 0]",600,0.0,36.0,0.007,Optimal
