,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
0,j10,1,2,0,"[0, 4, 15, 1, 2, 4, 6, 3, 1, 2, 1, 0]",60,0.0,26.0,0.006,Optimal
1,j10,1,2,1,"[0, 5, 9, 2, 3, 5, 7, 8, 3, 5, 2, 0]",60,0.0,27.0,0.006,Optimal
2,j10,1,2,2,"[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]",60,0.0,31.0,0.007,Optimal
3,j10,1,2,3,"[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]",60,0.0,26.0,0.006,Optimal
4,j10,1,2,4,"[0, 1, 6, 3, 2, 1, 7, 10, 3, 6, 2, 0]",60,0.0,27.0,0.006,Optimal
5,j10,1,2,5,"[0, 2, 6, 5, 1, 2, 4, 15, 3, 5, 1, 0]",60,0.0,29.0,0.007,Optimal
6,j10,1,2,6,"[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]",60,0.0,27.0,0.005,Optimal
7,j10,1,2,7,"[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]",60,0.0,26.0,0.006,Optimal
8,j10,1,2,8,"[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]",60,0.0,26.0,0.005,Optimal
9,j10,1,2,9,"[0, 2, 4, 4, 1, 1, 6, 9, 1, 6, 1, 0]",60,0.0,26.0,0.006,Optimal
10,j10,2,2,0,"[0, 6, 14, 15, 1, 12, 14, 2, 3, 2, 4, 0]",60,,,0.003,Infeasible
11,j10,2,2,1,"[0, 5, 10, 15, 1, 12, 5, 1, 8, 4, 7, 0]",60,,,0.003,Infeasible
12,j10,2,2,2,"[0, 4, 13, 15, 2, 5, 7, 2, 4, 9, 3, 0]",60,,,0.003,Infeasible
13,j10,2,2,3,"[0, 7, 12, 12, 2, 9, 12, 2, 3, 3, 11, 0]",60,,,0.002,Infeasible
14,j10,2,2,4,"[0, 1, 6, 13, 2, 11, 10, 3, 8, 3, 12, 0]",60,,,0.003,Infeasible
15,j10,2,2,5,"[0, 4, 7, 11, 2, 14, 15, 3, 7, 2, 6, 0]",60,,,0.002,Infeasible
16,j10,2,2,6,"[0, 2, 5, 3, 1, 12, 5, 3, 12, 10, 9, 0]",60,,,0.003,Infeasible
17,j10,2,2,7,"[0, 2, 6, 10, 1, 10, 7, 2, 12, 5, 9, 0]",60,,,0.003,Infeasible
18,j10,2,2,8,"[0, 1, 3, 5, 1, 10, 10, 2, 10, 5, 13, 0]",60,,,0.003,Infeasible
19,j10,2,2,9,"[0, 7, 3, 11, 2, 10, 4, 2, 6, 2, 11, 0]",60,,,0.003,Infeasible
20,j10,3,2,0,"[0, 2, 9, 2, 14, 6, 1, 1, 2, 15, 8, 0]",60,0.0,37.0,0.007,Optimal
21,j10,3,2,1,"[0, 2, 7, 2, 5, 5, 3, 5, 4, 15, 3, 0]",60,0.0,41.0,0.007,Optimal
22,j10,3,2,2,"[0, 1, 8, 2, 4, 8, 1, 7, 6, 12, 8, 0]",60,0.0,40.0,0.007,Optimal
23,j10,3,2,3,"[0, 2, 7, 2, 4, 1, 5, 2, 1, 11, 4, 0]",60,0.0,34.0,0.007,Optimal
24,j10,3,2,4,"[0, 2, 11, 2, 11, 8, 4, 7, 6, 4, 4, 0]",60,0.0,38.0,0.01,Optimal
25,j10,3,2,5,"[0, 1, 9, 2, 14, 5, 1, 6, 4, 12, 3, 0]",60,0.0,39.0,0.007,Optimal
26,j10,3,2,6,"[0, 2, 1, 5, 12, 3, 3, 2, 1, 9, 4, 0]",60,0.0,35.0,0.016,Optimal
27,j10,3,2,7,"[0, 2, 8, 5, 14, 6, 2, 4, 7, 11, 1, 0]",60,0.0,36.0,0.008,Optimal
28,j10,3,2,8,"[0, 1, 11, 2, 10, 4, 5, 3, 7, 3, 9, 0]",60,0.0,38.0,0.014,Optimal
29,j10,3,2,9,"[0, 2, 8, 2, 4, 4, 1, 1, 6, 9, 5, 0]",60,0.0,32.0,0.007,Optimal
30,j10,4,2,0,"[0, 7, 1, 1, 2, 7, 2, 1, 1, 4, 8, 0]",60,0.0,35.0,0.006,Optimal
31,j10,4,2,1,"[0, 8, 2, 3, 5, 7, 1, 5, 3, 7, 8, 0]",60,0.0,36.0,0.006,Optimal
32,j10,4,2,2,"[0, 9, 2, 2, 1, 8, 2, 2, 8, 9, 10, 0]",60,0.0,37.0,0.007,Optimal
33,j10,4,2,3,"[0, 3, 1, 5, 2, 10, 1, 6, 4, 13, 10, 0]",60,0.0,38.0,0.006,Optimal
34,j10,4,2,4,"[0, 10, 3, 8, 4, 8, 2, 2, 4, 7, 9, 0]",60,,,0.003,Infeasible
35,j10,4,2,5,"[0, 3, 1, 3, 5, 2, 2, 4, 3, 3, 5, 0]",60,0.0,33.0,0.006,Optimal
36,j10,4,2,6,"[0, 11, 3, 8, 3, 11, 1, 7, 4, 10, 8, 0]",60,,,0.003,Infeasible
37,j10,4,2,7,"[0, 6, 2, 2, 4, 8, 1, 1, 3, 13, 8, 0]",60,0.0,37.0,0.007,Optimal
38,j10,4,2,8,"[0, 9, 2, 8, 4, 12, 1, 7, 1, 11, 8, 0]",60,0.0,44.0,0.006,Optimal
39,j10,4,2,9,"[0, 9, 2, 2, 4, 2, 1, 6, 7, 7, 6, 0]",60,0.0,42.0,0.008,Optimal
40,j10,5,2,0,"[0, 8, 14, 1, 1, 2, 7, 1, 1, 2, 10, 0]",60,0.0,32.0,0.014,Optimal
41,j10,5,2,1,"[0, 9, 12, 3, 5, 3, 7, 3, 1, 4, 13, 0]",60,0.0,39.0,0.008,Optimal
42,j10,5,2,2,"[0, 5, 7, 2, 2, 3, 2, 7, 2, 2, 12, 0]",60,0.0,28.0,0.006,Optimal
43,j10,5,2,3,"[0, 10, 9, 2, 2, 1, 3, 9, 1, 6, 6, 0]",60,0.0,26.0,0.007,Optimal
44,j10,5,2,4,"[0, 13, 12, 1, 4, 3, 7, 2, 2, 4, 7, 0]",60,0.0,34.0,0.008,Optimal
45,j10,5,2,5,"[0, 11, 4, 1, 3, 1, 2, 4, 2, 3, 3, 0]",60,0.0,24.0,0.007,Optimal
46,j10,5,2,6,"[0, 7, 12, 3, 3, 2, 10, 7, 2, 4, 10, 0]",60,0.0,36.0,0.008,Optimal
47,j10,5,2,7,"[0, 10, 7, 2, 2, 3, 10, 1, 3, 3, 10, 0]",60,0.0,38.0,0.007,Optimal
48,j10,5,2,8,"[0, 10, 12, 1, 3, 3, 2, 9, 2, 2, 6, 0]",60,0.0,27.0,0.006,Optimal
49,j10,5,2,9,"[0, 3, 11, 2, 5, 2, 8, 3, 1, 4, 8, 0]",60,0.0,27.0,0.007,Optimal
50,j10,6,2,0,"[0, 2, 4, 5, 9, 12, 14, 6, 2, 3, 1, 0]",60,,,0.003,Infeasible
51,j10,6,2,1,"[0, 2, 5, 6, 7, 12, 5, 5, 1, 8, 3, 0]",60,,,0.003,Infeasible
52,j10,6,2,2,"[0, 1, 4, 5, 3, 7, 10, 8, 2, 4, 8, 0]",60,,,0.002,Infeasible
53,j10,6,2,3,"[0, 3, 1, 7, 8, 9, 12, 2, 1, 4, 9, 0]",60,0.0,41.0,0.017,Optimal
54,j10,6,2,4,"[0, 1, 6, 4, 9, 10, 6, 7, 2, 4, 4, 0]",60,,,0.003,Infeasible
55,j10,6,2,5,"[0, 1, 1, 2, 5, 3, 6, 2, 1, 3, 5, 0]",60,0.0,23.0,0.007,Optimal
56,j10,6,2,6,"[0, 2, 8, 3, 8, 10, 13, 2, 1, 9, 4, 0]",60,,,0.003,Infeasible
57,j10,6,2,7,"[0, 3, 8, 6, 5, 14, 8, 2, 2, 9, 9, 0]",60,,,0.003,Infeasible
58,j10,6,2,8,"[0, 1, 3, 3, 8, 10, 12, 8, 2, 13, 1, 0]",60,,,0.002,Infeasible
59,j10,6,2,9,"[0, 1, 8, 2, 2, 6, 3, 1, 2, 9, 5, 0]",60,0.0,27.0,0.007,Optimal
60,j10,7,2,0,"[0, 8, 2, 5, 11, 11, 4, 6, 1, 3, 2, 0]",60,,,0.003,Infeasible
61,j10,7,2,1,"[0, 10, 2, 5, 9, 11, 3, 5, 3, 7, 4, 0]",60,,,0.003,Infeasible
62,j10,7,2,2,"[0, 13, 1, 6, 5, 6, 8, 8, 2, 4, 1, 0]",60,0.0,41.0,0.007,Optimal
63,j10,7,2,3,"[0, 9, 2, 2, 12, 9, 8, 6, 2, 4, 1, 0]",60,,,0.003,Infeasible
64,j10,7,2,4,"[0, 4, 1, 1, 6, 12, 2, 1, 4, 9, 2, 0]",60,0.0,43.0,0.007,Optimal
65,j10,7,2,5,"[0, 12, 2, 5, 11, 3, 4, 5, 3, 7, 1, 0]",60,,,0.004,Infeasible
66,j10,7,2,6,"[0, 6, 2, 3, 3, 6, 2, 8, 3, 10, 3, 0]",60,,,0.003,Infeasible
67,j10,7,2,7,"[0, 12, 1, 7, 12, 5, 8, 7, 5, 14, 2, 0]",60,0.0,51.0,0.006,Optimal
68,j10,7,2,8,"[0, 6, 1, 1, 3, 4, 3, 8, 2, 10, 4, 0]",60,0.0,44.0,0.006,Optimal
69,j10,7,2,9,"[0, 13, 1, 7, 3, 10, 8, 8, 2, 4, 4, 0]",60,0.0,45.0,0.015,Optimal
70,j10,8,2,0,"[0, 8, 14, 5, 11, 6, 1, 1, 2, 1, 5, 0]",60,0.0,43.0,0.006,Optimal
71,j10,8,2,1,"[0, 9, 12, 3, 7, 6, 3, 5, 1, 1, 5, 0]",60,0.0,44.0,0.007,Optimal
72,j10,8,2,2,"[0, 5, 7, 2, 4, 8, 1, 2, 2, 2, 2, 0]",60,0.0,38.0,0.006,Optimal
73,j10,8,2,3,"[0, 4, 3, 5, 4, 9, 1, 4, 3, 2, 1, 0]",60,0.0,40.0,0.006,Optimal
74,j10,8,2,4,"[0, 10, 6, 7, 8, 2, 2, 4, 1, 1, 2, 0]",60,0.0,37.0,0.006,Optimal
75,j10,8,2,5,"[0, 14, 15, 3, 7, 1, 4, 2, 3, 2, 1, 0]",60,0.0,49.0,0.006,Optimal
76,j10,8,2,6,"[0, 7, 12, 3, 10, 8, 3, 2, 1, 1, 2, 0]",60,0.0,41.0,0.007,Optimal
77,j10,8,2,7,"[0, 6, 10, 7, 10, 5, 4, 2, 3, 1, 1, 0]",60,0.0,39.0,0.006,Optimal
78,j10,8,2,8,"[0, 5, 13, 2, 10, 4, 5, 3, 3, 1, 1, 0]",60,0.0,42.0,0.007,Optimal
79,j10,8,2,9,"[0, 11, 10, 2, 4, 4, 1, 1, 2, 2, 5, 0]",60,0.0,41.0,0.007,Optimal
80,j10,9,2,0,"[0, 6, 14, 1, 11, 11, 6, 2, 3, 2, 5, 0]",60,0.0,39.0,0.008,Optimal
81,j10,9,2,1,"[0, 8, 15, 3, 12, 4, 5, 7, 5, 5, 4, 0]",60,0.0,43.0,0.009,Optimal
82,j10,9,2,2,"[0, 5, 13, 1, 5, 6, 8, 9, 12, 2, 7, 0]",60,0.0,45.0,0.008,Optimal
83,j10,9,2,3,"[0, 1, 9, 2, 12, 11, 8, 8, 12, 2, 1, 0]",60,0.0,54.0,0.028,Optimal
84,j10,9,2,4,"[0, 5, 4, 1, 11, 5, 9, 9, 6, 7, 6, 0]",60,0.0,44.0,0.009,Optimal
85,j10,9,2,5,"[0, 2, 12, 1, 11, 3, 5, 2, 6, 3, 1, 0]",60,0.0,34.0,0.008,Optimal
86,j10,9,2,6,"[0, 5, 12, 3, 10, 9, 9, 8, 12, 4, 7, 0]",60,0.0,54.0,0.016,Optimal
87,j10,9,2,7,"[0, 8, 7, 2, 12, 5, 7, 10, 3, 3, 3, 0]",60,0.0,42.0,0.008,Optimal
88,j10,9,2,8,"[0, 8, 10, 2, 10, 5, 1, 10, 10, 8, 2, 0]",60,0.0,45.0,0.008,Optimal
89,j10,9,2,9,"[0, 2, 6, 1, 11, 8, 5, 7, 9, 3, 5, 0]",60,0.0,44.0,0.026,Optimal
90,j10,10,2,0,"[0, 6, 4, 1, 1, 12, 4, 6, 1, 1, 2, 0]",60,0.0,31.0,0.007,Optimal
91,j10,10,2,1,"[0, 5, 5, 1, 2, 5, 5, 7, 6, 3, 5, 0]",60,0.0,38.0,0.021,Optimal
92,j10,10,2,2,"[0, 4, 5, 1, 5, 5, 5, 2, 2, 1, 7, 0]",60,0.0,34.0,0.023,Optimal
93,j10,10,2,3,"[0, 6, 2, 2, 6, 9, 2, 2, 1, 5, 2, 0]",60,0.0,28.0,0.008,Optimal
94,j10,10,2,4,"[0, 1, 1, 2, 4, 13, 2, 1, 8, 4, 7, 0]",60,0.0,39.0,0.017,Optimal
95,j10,10,2,5,"[0, 6, 2, 2, 4, 7, 1, 2, 11, 5, 1, 0]",60,0.0,32.0,0.008,Optimal
96,j10,10,2,6,"[0, 6, 4, 2, 3, 3, 5, 2, 3, 3, 2, 0]",60,0.0,28.0,0.023,Optimal
97,j10,10,2,7,"[0, 1, 2, 2, 7, 10, 5, 4, 6, 2, 4, 0]",60,0.0,37.0,0.024,Optimal
98,j10,10,2,8,"[0, 7, 1, 1, 3, 13, 2, 4, 11, 1, 1, 0]",60,0.0,36.0,0.007,Optimal
99,j10,10,2,9,"[0, 8, 2, 2, 6, 6, 1, 1, 7, 5, 6, 0]",60,0.0,37.0,0.023,Optimal
100,j10,11,2,0,"[0, 7, 1, 1, 6, 1, 1, 2, 5, 5, 9, 0]",60,0.0,24.0,0.006,Optimal
101,j10,11,2,1,"[0, 11, 3, 5, 6, 3, 1, 3, 5, 2, 4, 0]",60,0.0,33.0,0.006,Optimal
102,j10,11,2,2,"[0, 9, 3, 1, 7, 2, 2, 8, 8, 2, 4, 0]",60,0.0,41.0,0.015,Optimal
103,j10,11,2,3,"[0, 2, 1, 2, 9, 1, 2, 4, 8, 3, 12, 0]",60,0.0,28.0,0.008,Optimal
104,j10,11,2,4,"[0, 10, 3, 4, 7, 2, 2, 4, 5, 1, 4, 0]",60,0.0,35.0,0.007,Optimal
105,j10,11,2,5,"[0, 12, 1, 1, 4, 2, 3, 1, 5, 2, 5, 0]",60,0.0,36.0,0.007,Optimal
106,j10,11,2,6,"[0, 9, 3, 2, 9, 3, 2, 4, 8, 5, 14, 0]",60,0.0,40.0,0.008,Optimal
107,j10,11,2,7,"[0, 7, 2, 4, 7, 1, 1, 3, 3, 2, 10, 0]",60,0.0,25.0,0.007,Optimal
