,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
0,j30,1,0.5,0,"[0, 1, 9, 7, 3, 2, 6, 1, 5, 7, 6, 8, 5, 8, 6, 1, 8, 1, 4, 10, 4, 7, 8, 1, 9, 8, 2, 1, 5, 1, 8, 0]",600,0.003,Infeasible,,
1,j30,1,0.5,1,"[0, 1, 8, 8, 3, 2, 7, 1, 4, 8, 7, 9, 5, 9, 7, 1, 7, 1, 4, 9, 6, 6, 8, 1, 7, 8, 2, 1, 6, 1, 6, 0]",600,0.003,Infeasible,,
2,j30,1,0.5,2,"[0, 1, 8, 8, 4, 2, 7, 1, 5, 7, 8, 9, 6, 8, 7, 1, 6, 1, 3, 9, 4, 7, 7, 1, 7, 9, 2, 1, 6, 1, 8, 0]",600,0.003,Infeasible,,
3,j30,1,0.5,3,"[0, 1, 8, 7, 4, 2, 7, 1, 6, 8, 6, 9, 6, 9, 7, 1, 6, 1, 4, 9, 6, 5, 7, 1, 9, 10, 2, 1, 6, 1, 6, 0]",600,0.003,Infeasible,,
4,j30,1,0.5,4,"[0, 1, 10, 9, 3, 2, 5, 1, 4, 8, 7, 8, 5, 7, 7, 1, 7, 1, 5, 8, 5, 7, 9, 1, 7, 9, 2, 1, 6, 1, 6, 0]",600,0.004,Infeasible,,
5,j30,1,0.5,5,"[0, 1, 8, 7, 3, 2, 5, 1, 5, 7, 7, 7, 5, 9, 6, 1, 7, 1, 5, 8, 5, 6, 7, 1, 9, 8, 2, 1, 5, 1, 6, 0]",600,0.003,Infeasible,,
6,j30,1,0.5,6,"[0, 1, 8, 8, 3, 2, 5, 1, 5, 7, 8, 8, 7, 7, 6, 1, 8, 1, 5, 10, 4, 6, 9, 1, 9, 10, 2, 1, 7, 1, 6, 0]",600,0.003,Infeasible,,
7,j30,1,0.5,7,"[0, 1, 10, 8, 4, 2, 7, 1, 4, 9, 6, 9, 6, 8, 7, 1, 8, 1, 4, 9, 4, 7, 7, 1, 8, 8, 2, 1, 6, 1, 7, 0]",600,0.003,Infeasible,,
8,j30,1,0.5,8,"[0, 1, 8, 8, 4, 2, 6, 1, 5, 9, 7, 7, 5, 9, 7, 1, 6, 1, 3, 9, 6, 6, 8, 1, 7, 9, 2, 1, 5, 1, 7, 0]",600,0.003,Infeasible,,
9,j30,1,0.5,9,"[0, 1, 8, 8, 4, 2, 6, 1, 5, 8, 6, 9, 6, 7, 6, 1, 8, 1, 4, 8, 6, 7, 9, 1, 7, 9, 2, 1, 6, 1, 7, 0]",600,0.003,Infeasible,,
10,j30,2,0.5,0,"[0, 6, 8, 3, 4, 6, 4, 8, 4, 8, 8, 5, 5, 1, 1, 5, 6, 1, 7, 9, 4, 1, 8, 7, 5, 1, 6, 1, 5, 6, 2, 0]",600,0.05,Optimal,0.0,92.0
11,j30,2,0.5,1,"[0, 5, 9, 5, 3, 5, 4, 8, 5, 10, 7, 7, 5, 1, 1, 6, 5, 1, 7, 9, 5, 1, 7, 6, 3, 1, 7, 1, 5, 4, 2, 0]",600,0.093,Optimal,0.0,84.0
12,j30,2,0.5,2,"[0, 6, 10, 4, 3, 7, 4, 9, 5, 9, 8, 5, 4, 1, 1, 6, 4, 1, 8, 7, 4, 1, 7, 7, 5, 1, 6, 1, 5, 5, 2, 0]",600,0.003,Infeasible,,
13,j30,2,0.5,3,"[0, 7, 10, 4, 3, 7, 4, 9, 5, 8, 8, 6, 6, 1, 1, 5, 4, 1, 8, 9, 5, 1, 6, 8, 5, 1, 8, 1, 5, 4, 2, 0]",600,0.003,Infeasible,,
14,j30,2,0.5,4,"[0, 6, 9, 4, 4, 5, 3, 8, 5, 10, 7, 6, 6, 1, 1, 7, 4, 1, 7, 8, 4, 1, 6, 6, 5, 1, 6, 1, 6, 4, 2, 0]",600,0.071,Optimal,0.0,82.0
15,j30,2,0.5,5,"[0, 6, 8, 3, 3, 5, 4, 9, 4, 9, 8, 5, 6, 1, 1, 5, 4, 1, 6, 7, 5, 1, 8, 6, 4, 1, 6, 1, 7, 5, 2, 0]",600,0.003,Infeasible,,
16,j30,2,0.5,6,"[0, 7, 8, 3, 4, 7, 3, 9, 4, 9, 9, 7, 6, 1, 1, 7, 4, 1, 8, 8, 5, 1, 8, 6, 5, 1, 6, 1, 7, 5, 2, 0]",600,0.003,Infeasible,,
17,j30,2,0.5,7,"[0, 6, 9, 5, 4, 6, 3, 9, 4, 9, 7, 6, 5, 1, 1, 5, 5, 1, 7, 8, 6, 1, 7, 6, 3, 1, 8, 1, 6, 4, 2, 0]",600,0.003,Infeasible,,
18,j30,2,0.5,8,"[0, 5, 9, 5, 4, 6, 4, 7, 5, 8, 8, 5, 5, 1, 1, 6, 5, 1, 7, 7, 6, 1, 7, 6, 3, 1, 8, 1, 6, 4, 2, 0]",600,0.213,Optimal,0.0,86.0
19,j30,2,0.5,9,"[0, 7, 10, 5, 3, 6, 4, 8, 5, 9, 9, 5, 4, 1, 1, 7, 4, 1, 7, 7, 6, 1, 6, 8, 5, 1, 6, 1, 6, 4, 2, 0]",600,0.003,Infeasible,,
20,j30,3,0.5,0,"[0, 6, 3, 1, 1, 3, 1, 1, 4, 1, 4, 1, 4, 1, 3, 6, 1, 1, 4, 3, 7, 5, 9, 4, 5, 4, 6, 9, 1, 1, 2, 0]",600,0.003,Infeasible,,
21,j30,3,0.5,1,"[0, 7, 3, 1, 1, 3, 1, 1, 5, 1, 3, 1, 4, 1, 5, 8, 1, 1, 3, 4, 7, 7, 7, 3, 4, 5, 5, 9, 1, 1, 2, 0]",600,0.003,Infeasible,,
22,j30,3,0.5,2,"[0, 7, 4, 1, 1, 4, 1, 1, 3, 1, 3, 1, 4, 1, 3, 6, 1, 1, 4, 5, 7, 5, 9, 4, 5, 5, 5, 9, 1, 1, 2, 0]",600,0.003,Infeasible,,
23,j30,3,0.5,3,"[0, 5, 3, 1, 1, 4, 1, 1, 3, 1, 3, 1, 3, 1, 3, 7, 1, 1, 4, 5, 6, 5, 8, 4, 5, 6, 5, 8, 1, 1, 2, 0]",600,0.003,Infeasible,,
24,j30,3,0.5,4,"[0, 7, 4, 1, 1, 5, 1, 1, 4, 1, 3, 1, 4, 1, 4, 7, 1, 1, 5, 3, 6, 7, 9, 4, 4, 4, 6, 10, 1, 1, 2, 0]",600,0.003,Infeasible,,
25,j30,3,0.5,5,"[0, 7, 3, 1, 1, 3, 1, 1, 4, 1, 4, 1, 4, 1, 3, 6, 1, 1, 4, 4, 8, 5, 8, 3, 5, 4, 5, 9, 1, 1, 2, 0]",600,0.003,Infeasible,,
26,j30,3,0.5,6,"[0, 5, 3, 1, 1, 3, 1, 1, 5, 1, 3, 1, 4, 1, 4, 6, 1, 1, 4, 3, 6, 7, 7, 4, 5, 4, 5, 9, 1, 1, 2, 0]",600,0.003,Infeasible,,
27,j30,3,0.5,7,"[0, 5, 5, 1, 1, 3, 1, 1, 3, 1, 3, 1, 3, 1, 4, 8, 1, 1, 3, 4, 6, 7, 8, 3, 3, 4, 6, 10, 1, 1, 2, 0]",600,0.004,Infeasible,,
28,j30,3,0.5,8,"[0, 7, 3, 1, 1, 4, 1, 1, 5, 1, 3, 1, 3, 1, 5, 6, 1, 1, 5, 4, 7, 7, 7, 3, 3, 6, 5, 9, 1, 1, 2, 0]",600,0.003,Infeasible,,
