,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
0,ubo100,1,0.5,0,"[0, 5, 8, 6, 6, 7, 7, 2, 4, 8, 3, 6, 3, 2, 6, 4, 10, 6, 7, 4, 8, 7, 1, 7, 8, 6, 5, 2, 7, 3, 1, 8, 6, 9, 8, 7, 8, 1, 4, 1, 1, 8, 9, 8, 6, 1, 5, 1, 1, 4, 5, 7, 1, 8, 1, 2, 1, 6, 6, 8, 5, 6, 4, 1, 1, 7, 4, 4, 6, 9, 2, 8, 8, 1, 6, 6, 1, 8, 4, 1, 4, 5, 3, 2, 8, 9, 5, 5, 1, 6, 7, 6, 4, 10, 10, 7, 3, 1, 5, 1, 1, 0]",600,0.005,Infeasible,,
1,ubo100,1,0.5,1,"[0, 5, 10, 7, 5, 7, 8, 2, 6, 7, 3, 7, 3, 2, 5, 3, 10, 8, 7, 3, 6, 8, 1, 8, 7, 6, 4, 2, 6, 4, 1, 10, 5, 9, 8, 9, 6, 1, 4, 1, 1, 8, 8, 7, 4, 1, 6, 1, 1, 3, 6, 7, 1, 8, 1, 2, 1, 6, 6, 9, 3, 6, 6, 1, 1, 5, 4, 4, 5, 8, 2, 9, 7, 1, 6, 6, 1, 7, 4, 1, 6, 3, 4, 2, 8, 10, 5, 5, 1, 6, 7, 7, 3, 10, 8, 7, 5, 1, 5, 1, 1, 0]",600,0.004,Infeasible,,
2,ubo100,1,0.5,2,"[0, 6, 10, 6, 7, 7, 8, 2, 6, 7, 5, 5, 3, 2, 5, 4, 9, 8, 6, 4, 6, 9, 1, 7, 7, 6, 5, 2, 6, 4, 1, 8, 6, 9, 7, 9, 7, 1, 3, 1, 1, 7, 10, 8, 4, 1, 4, 1, 1, 4, 6, 9, 1, 8, 1, 2, 1, 7, 6, 8, 3, 6, 4, 1, 1, 6, 4, 4, 5, 9, 2, 7, 9, 1, 7, 6, 1, 7, 3, 1, 5, 3, 3, 2, 10, 10, 4, 4, 1, 7, 8, 6, 3, 8, 8, 8, 3, 1, 4, 1, 1, 0]",600,0.005,Infeasible,,
3,ubo100,1,0.5,3,"[0, 4, 10, 6, 7, 8, 7, 2, 5, 7, 3, 5, 4, 2, 6, 4, 8, 6, 5, 4, 8, 7, 1, 7, 8, 8, 6, 2, 7, 4, 1, 9, 7, 8, 8, 7, 6, 1, 3, 1, 1, 7, 9, 9, 6, 1, 5, 1, 1, 4, 6, 7, 1, 9, 1, 2, 1, 8, 8, 7, 5, 7, 5, 1, 1, 5, 3, 3, 4, 10, 2, 8, 8, 1, 6, 8, 1, 9, 4, 1, 6, 4, 3, 2, 9, 10, 4, 3, 1, 8, 9, 5, 4, 10, 8, 8, 3, 1, 4, 1, 1, 0]",600,0.004,Infeasible,,
4,ubo100,1,0.5,4,"[0, 4, 8, 8, 5, 8, 8, 2, 6, 7, 3, 5, 3, 2, 6, 5, 8, 8, 6, 4, 7, 7, 1, 8, 8, 7, 6, 2, 7, 4, 1, 8, 6, 10, 8, 7, 6, 1, 3, 1, 1, 9, 8, 8, 4, 1, 6, 1, 1, 3, 5, 8, 1, 8, 1, 2, 1, 8, 7, 9, 3, 6, 5, 1, 1, 5, 4, 4, 5, 10, 2, 9, 7, 1, 8, 6, 1, 9, 4, 1, 4, 5, 3, 2, 8, 10, 4, 5, 1, 6, 8, 7, 4, 8, 10, 8, 5, 1, 3, 1, 1, 0]",600,0.004,Infeasible,,
5,ubo100,1,0.5,5,"[0, 5, 10, 7, 6, 7, 8, 2, 4, 8, 5, 6, 3, 2, 4, 5, 10, 7, 5, 3, 6, 9, 1, 9, 6, 7, 5, 2, 6, 3, 1, 9, 6, 8, 7, 9, 6, 1, 3, 1, 1, 7, 10, 8, 5, 1, 5, 1, 1, 3, 5, 7, 1, 9, 1, 2, 1, 7, 8, 9, 3, 6, 4, 1, 1, 6, 3, 3, 4, 10, 2, 9, 9, 1, 8, 6, 1, 8, 3, 1, 4, 3, 4, 2, 9, 9, 4, 5, 1, 8, 9, 5, 3, 8, 8, 8, 4, 1, 5, 1, 1, 0]",600,0.004,Infeasible,,
6,ubo100,1,0.5,6,"[0, 6, 8, 8, 6, 8, 7, 2, 6, 7, 4, 5, 3, 2, 6, 5, 9, 8, 7, 4, 6, 8, 1, 8, 8, 8, 4, 2, 7, 3, 1, 8, 5, 10, 8, 7, 6, 1, 3, 1, 1, 8, 10, 8, 6, 1, 4, 1, 1, 4, 6, 8, 1, 8, 1, 2, 1, 7, 8, 9, 3, 6, 4, 1, 1, 7, 4, 3, 5, 9, 2, 9, 7, 1, 6, 7, 1, 7, 4, 1, 5, 3, 3, 2, 8, 10, 6, 3, 1, 8, 7, 7, 3, 8, 8, 7, 3, 1, 5, 1, 1, 0]",600,0.004,Infeasible,,
7,ubo100,1,0.5,7,"[0, 6, 8, 8, 7, 7, 7, 2, 4, 7, 3, 5, 3, 2, 6, 4, 9, 7, 5, 3, 8, 9, 1, 9, 8, 8, 6, 2, 7, 3, 1, 8, 7, 9, 8, 8, 8, 1, 5, 1, 1, 8, 8, 7, 5, 1, 5, 1, 1, 4, 7, 8, 1, 8, 1, 2, 1, 8, 7, 8, 5, 7, 5, 1, 1, 7, 4, 4, 4, 8, 2, 8, 7, 1, 7, 7, 1, 9, 3, 1, 6, 3, 3, 2, 10, 8, 6, 4, 1, 8, 7, 6, 3, 8, 10, 7, 5, 1, 3, 1, 1, 0]",600,0.004,Infeasible,,
8,ubo100,1,0.5,8,"[0, 6, 8, 7, 5, 6, 7, 2, 4, 9, 5, 5, 3, 2, 6, 4, 9, 8, 5, 3, 7, 9, 1, 9, 8, 7, 5, 2, 7, 3, 1, 10, 6, 10, 7, 8, 7, 1, 5, 1, 1, 7, 8, 8, 6, 1, 4, 1, 1, 3, 7, 8, 1, 8, 1, 2, 1, 7, 8, 9, 4, 7, 6, 1, 1, 6, 4, 3, 4, 8, 2, 7, 8, 1, 6, 8, 1, 7, 3, 1, 5, 5, 4, 2, 8, 10, 4, 5, 1, 6, 8, 5, 3, 9, 10, 8, 5, 1, 4, 1, 1, 0]",600,0.004,Infeasible,,
9,ubo100,1,0.5,9,"[0, 4, 8, 8, 7, 7, 8, 2, 4, 7, 3, 6, 3, 2, 5, 3, 10, 7, 7, 5, 6, 8, 1, 8, 8, 8, 4, 2, 6, 3, 1, 8, 6, 10, 7, 7, 6, 1, 4, 1, 1, 8, 9, 8, 5, 1, 4, 1, 1, 3, 6, 9, 1, 7, 1, 2, 1, 7, 7, 9, 4, 6, 6, 1, 1, 7, 3, 4, 6, 10, 2, 7, 9, 1, 6, 7, 1, 8, 3, 1, 5, 5, 3, 2, 8, 8, 4, 4, 1, 6, 7, 6, 3, 9, 9, 8, 5, 1, 3, 1, 1, 0]",600,0.004,Infeasible,,
