,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
0,ubo100,1,2,0,"[0, 6, 14, 10, 10, 7, 3, 1, 2, 10, 6, 7, 2, 3, 5, 7, 8, 4, 5, 4, 12, 5, 1, 10, 9, 11, 2, 1, 7, 6, 2, 12, 8, 9, 11, 4, 2, 1, 2, 1, 1, 6, 13, 12, 9, 1, 8, 2, 1, 6, 2, 12, 1, 11, 2, 4, 1, 12, 6, 3, 6, 4, 3, 2, 1, 5, 2, 3, 8, 10, 3, 12, 11, 3, 11, 5, 2, 10, 6, 1, 6, 2, 4, 1, 3, 5, 8, 8, 2, 9, 12, 8, 4, 15, 13, 2, 1, 2, 2, 2, 1, 0]",60,0.005,Infeasible,,
1,ubo100,1,2,1,"[0, 9, 9, 6, 6, 8, 5, 5, 6, 14, 8, 9, 4, 5, 5, 7, 7, 9, 8, 6, 6, 12, 1, 5, 2, 12, 8, 5, 2, 2, 1, 13, 5, 3, 3, 12, 10, 1, 4, 2, 1, 10, 5, 13, 7, 1, 3, 1, 1, 3, 8, 10, 1, 9, 2, 2, 1, 6, 8, 3, 7, 6, 2, 1, 2, 6, 5, 3, 1, 10, 1, 12, 8, 1, 11, 5, 2, 4, 7, 2, 5, 5, 4, 1, 14, 11, 3, 8, 2, 7, 7, 6, 1, 8, 11, 3, 2, 2, 1, 3, 2, 0]",60,0.005,Infeasible,,
2,ubo100,1,2,2,"[0, 8, 3, 12, 4, 6, 5, 1, 4, 8, 6, 2, 3, 5, 4, 1, 9, 2, 8, 3, 12, 11, 2, 6, 2, 10, 5, 3, 10, 1, 1, 6, 9, 4, 12, 7, 5, 2, 4, 3, 2, 9, 10, 6, 6, 2, 4, 1, 1, 5, 1, 6, 1, 6, 2, 2, 2, 2, 12, 13, 3, 9, 3, 1, 2, 5, 1, 5, 5, 4, 4, 4, 9, 3, 11, 12, 2, 9, 2, 1, 1, 1, 3, 5, 12, 9, 1, 7, 2, 2, 6, 10, 1, 15, 6, 12, 4, 1, 8, 3, 2, 0]",60,60.002,Feasible,0.408115,419.0
3,ubo100,1,2,3,"[0, 4, 11, 10, 1, 8, 10, 5, 6, 7, 2, 11, 6, 3, 6, 7, 14, 8, 9, 4, 12, 10, 2, 10, 4, 8, 1, 3, 2, 4, 1, 11, 6, 12, 6, 12, 3, 1, 8, 3, 1, 13, 7, 10, 1, 1, 3, 1, 2, 7, 8, 9, 1, 9, 2, 5, 2, 8, 4, 13, 5, 10, 6, 2, 2, 10, 1, 6, 7, 7, 5, 5, 13, 2, 6, 2, 1, 6, 3, 1, 4, 2, 2, 3, 8, 7, 1, 4, 1, 4, 6, 10, 2, 7, 7, 10, 3, 2, 7, 3, 1, 0]",60,0.005,Infeasible,,
4,ubo100,1,2,4,"[0, 8, 3, 7, 3, 4, 14, 3, 9, 8, 3, 1, 5, 2, 9, 3, 14, 8, 7, 1, 6, 10, 2, 6, 2, 3, 7, 3, 1, 7, 2, 9, 5, 5, 7, 7, 8, 1, 7, 2, 1, 10, 8, 3, 8, 2, 9, 1, 1, 1, 1, 10, 3, 3, 1, 2, 1, 3, 12, 12, 4, 6, 2, 2, 2, 11, 7, 5, 9, 10, 3, 8, 4, 3, 10, 2, 2, 6, 5, 2, 1, 5, 1, 4, 5, 7, 4, 3, 1, 4, 3, 1, 6, 7, 13, 12, 5, 3, 7, 2, 1, 0]",60,0.005,Infeasible,,
5,ubo100,1,2,5,"[0, 1, 15, 5, 9, 7, 6, 2, 5, 10, 5, 4, 3, 3, 3, 7, 9, 12, 1, 3, 3, 8, 1, 9, 7, 10, 9, 2, 2, 4, 2, 14, 10, 6, 5, 6, 8, 2, 8, 1, 1, 8, 3, 8, 3, 1, 8, 1, 1, 5, 11, 3, 3, 14, 2, 3, 1, 10, 9, 9, 6, 8, 8, 1, 1, 11, 5, 2, 8, 14, 5, 6, 11, 1, 8, 5, 1, 9, 6, 2, 7, 5, 5, 3, 5, 7, 2, 3, 2, 11, 14, 4, 7, 10, 3, 5, 4, 2, 4, 3, 1, 0]",60,0.005,Infeasible,,
6,ubo100,1,2,6,"[0, 7, 14, 7, 2, 5, 5, 4, 7, 10, 3, 9, 5, 1, 2, 4, 11, 8, 1, 1, 3, 5, 2, 10, 6, 6, 1, 2, 1, 1, 2, 9, 3, 8, 6, 6, 2, 1, 3, 2, 2, 14, 12, 7, 5, 2, 1, 2, 1, 7, 2, 13, 3, 7, 2, 3, 1, 2, 7, 5, 6, 8, 8, 2, 2, 5, 7, 6, 7, 7, 2, 4, 8, 2, 4, 8, 1, 14, 3, 2, 4, 3, 4, 1, 13, 3, 2, 6, 1, 7, 11, 9, 1, 3, 3, 11, 1, 2, 2, 3, 3, 0]",60,0.005,Infeasible,,
7,ubo100,1,2,7,"[0, 5, 3, 11, 9, 8, 6, 3, 1, 11, 2, 7, 7, 2, 4, 8, 10, 5, 3, 8, 5, 3, 1, 5, 10, 12, 3, 2, 1, 2, 1, 6, 10, 7, 10, 11, 10, 1, 7, 3, 1, 9, 7, 12, 1, 1, 6, 2, 1, 6, 7, 4, 3, 8, 2, 2, 2, 7, 8, 10, 7, 11, 8, 2, 2, 7, 1, 5, 5, 5, 3, 7, 3, 1, 5, 7, 2, 3, 4, 1, 6, 2, 3, 4, 14, 4, 9, 5, 2, 2, 4, 8, 2, 14, 8, 6, 5, 3, 6, 3, 3, 0]",60,0.005,Infeasible,,
8,ubo100,1,2,8,"[0, 3, 8, 12, 4, 11, 6, 2, 6, 4, 5, 10, 4, 1, 9, 5, 9, 3, 3, 1, 12, 7, 1, 9, 3, 2, 5, 2, 4, 7, 1, 13, 6, 4, 3, 12, 8, 1, 5, 1, 1, 11, 15, 13, 4, 2, 3, 2, 2, 6, 7, 3, 1, 5, 3, 2, 1, 7, 9, 3, 3, 3, 1, 2, 2, 6, 2, 2, 7, 6, 3, 4, 4, 3, 9, 7, 1, 14, 2, 1, 8, 8, 4, 4, 8, 3, 3, 8, 2, 6, 12, 5, 7, 12, 6, 12, 1, 1, 1, 2, 1, 0]",60,0.005,Infeasible,,
9,ubo100,1,2,9,"[0, 2, 14, 10, 11, 9, 11, 2, 3, 5, 6, 11, 7, 4, 6, 2, 13, 4, 8, 6, 6, 4, 1, 12, 10, 3, 9, 2, 7, 3, 1, 4, 9, 6, 9, 3, 9, 2, 7, 1, 1, 13, 10, 6, 6, 2, 3, 2, 2, 4, 3, 13, 2, 13, 3, 2, 2, 10, 3, 11, 7, 5, 7, 1, 2, 6, 5, 4, 8, 14, 3, 3, 14, 3, 2, 7, 2, 12, 3, 1, 2, 5, 6, 3, 12, 15, 4, 4, 2, 7, 13, 2, 2, 10, 4, 4, 7, 2, 1, 2, 1, 0]",60,0.004,Infeasible,,
10,ubo100,2,2,0,"[0, 7, 4, 10, 2, 11, 2, 1, 1, 2, 8, 7, 2, 3, 6, 7, 8, 3, 5, 14, 13, 1, 5, 5, 10, 2, 2, 3, 1, 9, 2, 2, 2, 8, 2, 8, 12, 4, 1, 1, 2, 9, 1, 6, 3, 10, 10, 7, 4, 3, 7, 2, 2, 4, 5, 11, 3, 11, 5, 3, 6, 4, 2, 5, 2, 1, 2, 5, 9, 8, 3, 2, 1, 9, 2, 6, 10, 7, 2, 6, 7, 6, 11, 3, 10, 1, 1, 8, 2, 2, 4, 15, 13, 2, 9, 8, 2, 2, 4, 3, 9, 0]",60,0.004,Infeasible,,
