instance_folder,instance_id,noise_factor,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j10,1,2,proactive_SAA_smart,180,False,inf,0.16699934005737305,inf,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 4, 15, 1, 2, 4, 6, 3, 1, 2, 1, 0]",SAA_smart,26.0
j10,1,2,proactive_SAA_smart,180,True,35.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 5, 9, 2, 3, 5, 7, 8, 3, 5, 2, 0]",SAA_smart,27.0
j10,1,2,proactive_SAA_smart,180,True,36.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]",SAA_smart,31.0
j10,1,2,proactive_SAA_smart,180,True,33.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]",SAA_smart,26.0
j10,1,2,proactive_SAA_smart,180,True,35.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 1, 6, 3, 2, 1, 7, 10, 3, 6, 2, 0]",SAA_smart,27.0
j10,1,2,proactive_SAA_smart,180,False,inf,0.16699934005737305,inf,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 2, 6, 5, 1, 2, 4, 15, 3, 5, 1, 0]",SAA_smart,29.0
j10,1,2,proactive_SAA_smart,180,True,33.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]",SAA_smart,27.0
j10,1,2,proactive_SAA_smart,180,True,33.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]",SAA_smart,26.0
j10,1,2,proactive_SAA_smart,180,True,33.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]",SAA_smart,26.0
j10,1,2,proactive_SAA_smart,180,True,34.0,0.16699934005737305,0.0,"[0, 6, 0, 0, 0, 7, 28, 14, 28, 15, 8, 33]","[0, 2, 4, 4, 1, 1, 6, 9, 1, 6, 1, 0]",SAA_smart,26.0
j10,3,2,proactive_SAA_smart,180,True,45.0,0.11300158500671387,0.0,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 9, 2, 14, 6, 1, 1, 2, 15, 8, 0]",SAA_smart,37.0
j10,3,2,proactive_SAA_smart,180,True,45.0,0.11300158500671387,0.0,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 7, 2, 5, 5, 3, 5, 4, 15, 3, 0]",SAA_smart,41.0
j10,3,2,proactive_SAA_smart,180,True,42.0,0.11300158500671387,0.0,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 1, 8, 2, 4, 8, 1, 7, 6, 12, 8, 0]",SAA_smart,40.0
j10,3,2,proactive_SAA_smart,180,True,41.0,0.11300158500671387,0.0010006427764892578,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 7, 2, 4, 1, 5, 2, 1, 11, 4, 0]",SAA_smart,34.0
j10,3,2,proactive_SAA_smart,180,False,inf,0.11300158500671387,inf,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 11, 2, 11, 8, 4, 7, 6, 4, 4, 0]",SAA_smart,38.0
j10,3,2,proactive_SAA_smart,180,True,42.0,0.11300158500671387,0.0010001659393310547,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 1, 9, 2, 14, 5, 1, 6, 4, 12, 3, 0]",SAA_smart,39.0
j10,3,2,proactive_SAA_smart,180,True,40.0,0.11300158500671387,0.0009984970092773438,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 1, 5, 12, 3, 3, 2, 1, 9, 4, 0]",SAA_smart,35.0
j10,3,2,proactive_SAA_smart,180,True,42.0,0.11300158500671387,0.000997304916381836,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 8, 5, 14, 6, 2, 4, 7, 11, 1, 0]",SAA_smart,36.0
j10,3,2,proactive_SAA_smart,180,False,inf,0.11300158500671387,inf,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 1, 11, 2, 10, 4, 5, 3, 7, 3, 9, 0]",SAA_smart,38.0
j10,3,2,proactive_SAA_smart,180,True,41.0,0.11300158500671387,0.0,"[0, 10, 0, 20, 26, 12, 21, 22, 35, 30, 26, 40]","[0, 2, 8, 2, 4, 4, 1, 1, 6, 9, 5, 0]",SAA_smart,32.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 7, 1, 1, 2, 7, 2, 1, 1, 4, 8, 0]",SAA_smart,35.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 8, 2, 3, 5, 7, 1, 5, 3, 7, 8, 0]",SAA_smart,36.0
j10,4,2,proactive_SAA_smart,180,False,inf,inf,inf,,"[0, 9, 2, 2, 1, 8, 2, 2, 8, 9, 10, 0]",SAA_smart,37.0
