instance_folder,instance_id,noise_factor,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
ubo50,1,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 2, 4, 9, 11, 4, 6, 1, 1, 2, 1, 8, 5, 9, 3, 5, 3, 7, 3, 5, 9, 2, 2, 8, 3, 1, 7, 11, 10, 9, 2, 8, 2, 1, 1, 2, 1, 1, 4, 3, 2, 1, 7, 4, 7, 8, 2, 2, 4, 5, 11, 0]",,,inf,inf,quantile_0.9,"[0, 3, 5, 9, 11, 5, 9, 10, 8, 7, 3, 9, 5, 14, 9, 5, 5, 14, 9, 10, 11, 3, 10, 10, 3, 8, 7, 11, 10, 11, 3, 11, 9, 5, 3, 9, 5, 3, 9, 5, 8, 5, 8, 5, 9, 13, 3, 3, 9, 9, 13, 0]",179.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 6, 9, 10, 2, 1, 1, 4, 10, 8, 2, 4, 5, 3, 5, 12, 4, 7, 9, 2, 2, 8, 3, 7, 2, 2, 8, 9, 11, 2, 1, 15, 2, 10, 1, 2, 3, 12, 11, 10, 4, 7, 6, 2, 4, 5, 1, 2, 4, 11, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 6, 9, 10, 2, 1, 1, 13, 13, 11, 2, 11, 8, 5, 5, 11, 11, 7, 11, 3, 10, 8, 3, 7, 3, 5, 9, 9, 11, 2, 1, 15, 9, 11, 1, 2, 3, 13, 13, 14, 4, 7, 6, 10, 9, 9, 1, 3, 8, 10, 1, 0]",183.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 1, 4, 10, 3, 1, 5, 12, 5, 9, 2, 12, 2, 1, 7, 11, 5, 10, 9, 2, 5, 4, 8, 10, 3, 1, 1, 5, 12, 2, 8, 6, 1, 10, 2, 2, 2, 6, 3, 11, 7, 5, 6, 7, 3, 6, 4, 2, 1, 5, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 1, 4, 10, 3, 1, 5, 12, 5, 9, 2, 12, 2, 5, 7, 11, 5, 10, 9, 2, 5, 4, 8, 10, 3, 1, 1, 5, 12, 2, 8, 6, 9, 10, 2, 2, 2, 6, 13, 11, 7, 7, 6, 10, 9, 9, 4, 3, 8, 5, 1, 0]",179.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 5, 8, 8, 2, 1, 1, 5, 3, 12, 2, 3, 8, 2, 1, 12, 6, 3, 3, 3, 10, 1, 5, 4, 2, 3, 8, 5, 12, 7, 1, 12, 3, 8, 3, 3, 1, 9, 8, 4, 5, 7, 1, 7, 6, 2, 3, 2, 6, 5, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 5, 8, 8, 2, 1, 1, 5, 13, 12, 2, 11, 8, 5, 1, 11, 11, 3, 3, 3, 10, 1, 5, 4, 3, 5, 9, 5, 11, 7, 1, 12, 9, 11, 3, 3, 1, 13, 13, 4, 5, 7, 1, 10, 9, 9, 3, 3, 8, 10, 1, 0]",173.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 1, 8, 9, 2, 2, 8, 3, 12, 5, 2, 3, 7, 5, 5, 8, 10, 14, 10, 2, 3, 8, 8, 6, 1, 1, 6, 11, 3, 2, 9, 10, 1, 12, 2, 1, 3, 3, 14, 6, 6, 6, 2, 3, 5, 4, 1, 3, 1, 8, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 1, 8, 9, 3, 2, 9, 13, 13, 11, 2, 11, 8, 5, 8, 11, 11, 14, 11, 3, 10, 8, 13, 10, 3, 5, 9, 13, 11, 7, 9, 14, 9, 11, 2, 1, 3, 13, 13, 14, 9, 7, 2, 10, 9, 9, 8, 3, 8, 10, 1, 0]",190.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 8, 11, 9, 2, 1, 9, 7, 5, 11, 1, 5, 1, 2, 3, 6, 5, 6, 12, 3, 8, 4, 8, 4, 3, 5, 5, 3, 5, 4, 9, 6, 6, 8, 2, 2, 1, 13, 13, 5, 9, 3, 7, 2, 5, 1, 5, 1, 7, 2, 2, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 8, 11, 9, 2, 1, 9, 13, 13, 11, 1, 11, 1, 5, 3, 11, 11, 6, 12, 3, 8, 4, 8, 4, 3, 5, 5, 3, 11, 4, 9, 6, 9, 8, 2, 2, 1, 13, 13, 5, 9, 7, 7, 10, 9, 9, 5, 3, 8, 10, 2, 0]",175.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 4, 2, 7, 3, 2, 7, 12, 9, 2, 1, 4, 7, 5, 2, 8, 2, 9, 9, 1, 4, 2, 3, 4, 3, 4, 5, 10, 7, 7, 4, 11, 9, 2, 3, 3, 1, 12, 8, 7, 6, 3, 7, 6, 7, 7, 5, 1, 1, 11, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 4, 2, 7, 3, 2, 7, 12, 9, 2, 1, 4, 7, 5, 2, 8, 2, 9, 9, 1, 4, 2, 3, 4, 3, 4, 5, 10, 7, 7, 4, 11, 9, 2, 3, 3, 1, 12, 8, 7, 6, 3, 7, 6, 7, 7, 5, 3, 1, 11, 1, 0]",182.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 8, 8, 8, 2, 1, 3, 9, 14, 2, 2, 7, 3, 2, 4, 12, 10, 8, 11, 1, 10, 4, 14, 2, 3, 1, 5, 10, 2, 7, 3, 7, 4, 8, 1, 3, 1, 9, 7, 10, 7, 3, 3, 10, 6, 9, 6, 3, 6, 5, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 8, 8, 8, 2, 1, 3, 9, 14, 2, 2, 7, 3, 5, 4, 11, 10, 8, 11, 1, 10, 4, 14, 2, 3, 5, 5, 10, 2, 7, 3, 7, 9, 8, 1, 3, 1, 9, 7, 10, 7, 7, 3, 10, 9, 9, 6, 3, 8, 5, 1, 0]",198.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 3, 11, 10, 1, 1, 1, 6, 13, 6, 2, 5, 2, 2, 3, 7, 6, 3, 10, 1, 3, 4, 12, 10, 1, 5, 9, 5, 3, 7, 4, 11, 8, 2, 2, 3, 3, 14, 13, 13, 9, 6, 3, 1, 6, 9, 3, 3, 7, 1, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 3, 11, 10, 1, 1, 1, 6, 13, 6, 2, 5, 2, 2, 3, 11, 6, 3, 10, 1, 3, 4, 12, 10, 1, 5, 9, 5, 3, 7, 4, 11, 9, 2, 2, 3, 3, 14, 13, 13, 9, 7, 3, 10, 9, 9, 3, 3, 8, 1, 1, 0]",171.0
ubo50,3,2,inf,reactive_quantile_0.9,2,60,1,False,"[0, 5, 8, 4, 1, 3, 2, 9, 13, 2, 1, 3, 7, 5, 3, 7, 6, 9, 4, 3, 10, 3, 10, 6, 1, 4, 9, 11, 10, 1, 8, 5, 1, 9, 1, 2, 3, 4, 13, 15, 6, 2, 6, 10, 7, 5, 2, 1, 7, 8, 1, 0]","[0, 26, 0, 13, 58, 0, 85, 230, 192, 86, 66, 203, 168, 205, 160, 215, 168, 13, 122, 82, 97, 26, 133, 68, 119, 210, 122, 147, 179, 42, 3, 68, 221, 108, 19, 23, 61, 179, 190, 133, 49, 214, 107, 243, 263, 272, 34, 281, 230, 253, 64, 283]",,inf,inf,quantile_0.9,"[0, 5, 8, 4, 1, 3, 2, 13, 13, 2, 1, 11, 7, 5, 3, 11, 11, 9, 4, 3, 10, 3, 10, 6, 1, 5, 9, 11, 11, 1, 8, 5, 9, 9, 1, 2, 3, 4, 13, 15, 6, 7, 6, 10, 9, 9, 2, 3, 8, 10, 1, 0]",197.0
