instance_folder,instance_id,noise_factor,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
j10,1,2,STNU_robust,60,True,True,27.0,True,"[0, 4, 15, 1, 2, 4, 6, 3, 1, 2, 1, 0]","[0, 10, 0, 0, 0, 7, 21, 15, 24, 19, 12, 26]",0.48604893684387207,0.003917217254638672,robust,26.0
j10,1,2,STNU_robust,60,True,True,30.0,True,"[0, 5, 9, 2, 3, 5, 7, 8, 3, 5, 2, 0]","[0, 9, 0, 0, 0, 7, 23, 14, 24, 18, 11, 28]",0.48604893684387207,0.0038378238677978516,robust,27.0
j10,1,2,STNU_robust,60,True,True,33.0,True,"[0, 5, 13, 5, 3, 5, 8, 10, 2, 2, 2, 0]","[0, 10, 0, 0, 0, 7, 25, 15, 25, 19, 12, 30]",0.48604893684387207,0.0038309097290039062,robust,31.0
j10,1,2,STNU_robust,60,True,True,26.0,True,"[0, 1, 9, 2, 2, 2, 2, 3, 1, 2, 1, 0]","[0, 9, 0, 0, 0, 7, 20, 12, 24, 18, 11, 26]",0.48604893684387207,0.0038177967071533203,robust,26.0
j10,1,2,STNU_robust,60,True,True,29.0,True,"[0, 1, 6, 3, 2, 1, 7, 10, 3, 6, 2, 0]","[0, 7, 0, 0, 0, 7, 22, 11, 24, 16, 9, 27]",0.48604893684387207,0.0037839412689208984,robust,27.0
j10,1,2,STNU_robust,60,True,True,30.0,True,"[0, 2, 6, 5, 1, 2, 4, 15, 3, 5, 1, 0]","[0, 7, 0, 0, 0, 7, 25, 10, 25, 16, 9, 30]",0.48604893684387207,0.0038089752197265625,robust,29.0
j10,1,2,STNU_robust,60,True,True,33.0,True,"[0, 4, 12, 3, 1, 5, 2, 5, 3, 9, 1, 0]","[0, 10, 0, 0, 0, 7, 28, 14, 28, 19, 12, 33]",0.48604893684387207,0.003972768783569336,robust,27.0
j10,1,2,STNU_robust,60,True,True,26.0,True,"[0, 2, 6, 5, 4, 2, 4, 9, 1, 1, 1, 0]","[0, 7, 0, 0, 0, 7, 19, 10, 24, 16, 9, 26]",0.48604893684387207,0.003770112991333008,robust,26.0
j10,1,2,STNU_robust,60,True,True,32.0,True,"[0, 3, 10, 2, 4, 5, 3, 3, 1, 8, 2, 0]","[0, 10, 0, 0, 0, 7, 27, 14, 27, 19, 12, 32]",0.48604893684387207,0.00414276123046875,robust,26.0
j10,1,2,STNU_robust,60,True,True,28.0,True,"[0, 2, 4, 4, 1, 1, 6, 9, 1, 6, 1, 0]","[0, 7, 0, 0, 0, 7, 22, 10, 24, 16, 9, 27]",0.48604893684387207,0.003797769546508789,robust,26.0
