instance_folder,instance_id,noise_factor,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
ubo100,1,2,STNU_robust,60,,False,inf,False,"[0, 8, 3, 12, 4, 6, 5, 1, 4, 8, 6, 2, 3, 5, 4, 1, 9, 2, 8, 3, 12, 11, 2, 6, 2, 10, 5, 3, 10, 1, 1, 6, 9, 4, 12, 7, 5, 2, 4, 3, 2, 9, 10, 6, 6, 2, 4, 1, 1, 5, 1, 6, 1, 6, 2, 2, 2, 2, 12, 13, 3, 9, 3, 1, 2, 5, 1, 5, 5, 4, 4, 4, 9, 3, 11, 12, 2, 9, 2, 1, 1, 1, 3, 5, 12, 9, 1, 7, 2, 2, 6, 10, 1, 15, 6, 12, 4, 1, 8, 3, 2, 0]",,inf,inf,robust,419.0
ubo100,2,2,STNU_robust,60,,False,inf,False,"[0, 2, 6, 5, 2, 3, 3, 1, 4, 1, 7, 1, 6, 8, 4, 8, 15, 9, 4, 3, 11, 1, 5, 8, 12, 1, 5, 1, 2, 13, 1, 5, 2, 4, 2, 12, 14, 9, 8, 2, 6, 4, 3, 5, 1, 1, 5, 4, 1, 2, 8, 2, 2, 1, 11, 13, 4, 9, 3, 4, 5, 1, 5, 7, 3, 2, 2, 9, 8, 7, 2, 1, 1, 5, 3, 12, 9, 1, 1, 1, 6, 1, 5, 3, 6, 8, 1, 6, 1, 5, 4, 11, 11, 2, 7, 8, 5, 7, 10, 8, 5, 0]",,inf,inf,robust,457.0
ubo100,2,2,STNU_robust,60,,False,inf,False,"[0, 7, 1, 2, 1, 5, 1, 1, 6, 4, 2, 5, 5, 4, 4, 3, 13, 3, 7, 9, 13, 1, 13, 2, 8, 3, 4, 2, 9, 11, 2, 6, 2, 6, 2, 3, 14, 6, 10, 2, 4, 4, 7, 2, 1, 6, 2, 6, 3, 3, 9, 5, 1, 3, 1, 14, 4, 5, 1, 10, 5, 7, 6, 10, 9, 1, 1, 13, 3, 8, 1, 4, 1, 6, 1, 9, 6, 1, 1, 7, 8, 7, 6, 2, 8, 7, 1, 3, 1, 3, 2, 5, 6, 11, 4, 7, 1, 5, 4, 14, 4, 0]",,inf,inf,robust,459.0
ubo100,3,2,STNU_robust,60,,False,inf,False,"[0, 1, 8, 1, 10, 1, 1, 3, 12, 1, 2, 2, 4, 7, 5, 3, 6, 1, 2, 2, 9, 7, 6, 12, 2, 12, 1, 10, 3, 7, 9, 2, 2, 8, 2, 4, 4, 4, 1, 11, 3, 9, 11, 3, 3, 2, 1, 2, 15, 7, 4, 2, 1, 11, 1, 11, 3, 4, 1, 1, 1, 12, 2, 12, 8, 4, 1, 7, 9, 2, 8, 8, 6, 8, 3, 12, 2, 3, 8, 9, 13, 2, 7, 1, 1, 5, 3, 13, 1, 1, 1, 5, 1, 15, 6, 12, 3, 2, 8, 6, 2, 0]",,inf,inf,robust,430.0
ubo100,4,2,STNU_robust,60,True,True,458.0,True,"[0, 7, 1, 9, 10, 7, 2, 1, 4, 10, 5, 3, 11, 5, 5, 7, 4, 5, 14, 5, 13, 1, 4, 7, 10, 9, 11, 2, 8, 1, 8, 2, 2, 2, 2, 9, 2, 2, 1, 5, 3, 1, 9, 2, 2, 13, 2, 1, 7, 2, 2, 3, 6, 4, 2, 6, 5, 1, 4, 14, 15, 3, 5, 1, 6, 4, 3, 2, 1, 7, 12, 2, 3, 3, 2, 11, 9, 11, 6, 10, 7, 8, 6, 14, 6, 2, 2, 3, 1, 1, 4, 11, 2, 1, 12, 1, 1, 1, 8, 2, 2, 0]","[0, 1, 0, 13, 147, 183, 0, 1, 290, 361, 40, 40, 54, 339, 35, 121, 92, 208, 94, 199, 165, 78, 267, 227, 302, 135, 216, 206, 127, 12, 267, 453, 316, 347, 288, 234, 314, 116, 91, 334, 314, 157, 45, 144, 114, 275, 75, 213, 185, 318, 332, 195, 46, 22, 214, 108, 178, 301, 415, 318, 389, 435, 290, 65, 158, 31, 423, 285, 146, 408, 79, 312, 386, 295, 66, 350, 426, 195, 378, 275, 128, 245, 135, 253, 344, 451, 8, 192, 164, 415, 334, 404, 449, 455, 396, 114, 223, 422, 438, 456, 178, 458]",62.55953359603882,1.8336856365203857,robust,391.0
ubo100,4,2,STNU_robust,60,True,True,478.0,True,"[0, 5, 1, 9, 7, 6, 7, 3, 14, 8, 4, 2, 10, 14, 5, 6, 6, 6, 7, 2, 3, 1, 4, 3, 13, 9, 3, 2, 10, 9, 12, 1, 1, 1, 1, 4, 7, 10, 1, 3, 5, 2, 3, 1, 1, 10, 1, 3, 7, 1, 2, 3, 7, 9, 3, 10, 8, 1, 9, 8, 4, 3, 5, 7, 1, 7, 6, 2, 2, 5, 4, 2, 5, 3, 1, 10, 11, 11, 8, 10, 1, 2, 5, 12, 2, 1, 2, 1, 5, 7, 10, 9, 4, 2, 4, 2, 6, 2, 5, 2, 1, 0]","[0, 1, 0, 21, 151, 190, 0, 1, 296, 376, 51, 51, 64, 349, 46, 123, 93, 215, 103, 206, 172, 87, 274, 236, 313, 139, 224, 211, 129, 12, 272, 473, 335, 365, 294, 239, 328, 122, 92, 346, 328, 160, 55, 148, 120, 284, 84, 221, 192, 337, 344, 200, 57, 30, 221, 110, 175, 310, 429, 336, 406, 455, 295, 74, 162, 39, 438, 294, 149, 422, 88, 326, 401, 310, 81, 366, 444, 200, 394, 284, 132, 254, 133, 260, 363, 471, 7, 199, 167, 427, 346, 410, 467, 474, 412, 120, 230, 436, 458, 476, 175, 478]",62.55953359603882,1.8177165985107422,robust,384.0
ubo100,4,2,STNU_robust,60,True,True,457.0,True,"[0, 7, 1, 2, 2, 10, 9, 1, 13, 6, 5, 3, 2, 14, 4, 7, 3, 3, 7, 4, 3, 3, 2, 10, 5, 12, 10, 2, 4, 1, 10, 1, 2, 3, 2, 3, 5, 4, 1, 2, 12, 1, 4, 3, 2, 9, 2, 4, 6, 2, 1, 1, 4, 5, 5, 7, 1, 4, 6, 11, 6, 6, 7, 6, 8, 8, 2, 2, 1, 13, 13, 1, 1, 3, 2, 7, 3, 6, 4, 10, 4, 2, 8, 9, 2, 1, 2, 3, 2, 7, 2, 1, 3, 3, 11, 1, 1, 3, 8, 1, 2, 0]","[0, 1, 0, 13, 130, 169, 0, 1, 270, 348, 39, 39, 49, 322, 35, 103, 82, 194, 83, 185, 151, 65, 253, 215, 287, 114, 205, 189, 109, 12, 248, 451, 300, 338, 268, 225, 295, 101, 81, 320, 295, 140, 44, 126, 97, 258, 62, 197, 171, 307, 318, 180, 45, 18, 200, 90, 156, 283, 411, 307, 374, 426, 270, 52, 141, 27, 421, 268, 129, 398, 68, 294, 373, 283, 58, 341, 423, 180, 369, 258, 110, 233, 114, 239, 336, 449, 9, 177, 149, 411, 319, 380, 446, 452, 387, 100, 209, 418, 432, 455, 154, 457]",62.55953359603882,1.813715934753418,robust,348.0
ubo100,4,2,STNU_robust,60,True,True,483.0,True,"[0, 11, 1, 4, 11, 6, 9, 5, 6, 11, 1, 1, 8, 10, 5, 11, 7, 5, 12, 3, 8, 3, 7, 9, 14, 8, 10, 2, 11, 8, 9, 2, 2, 1, 3, 9, 4, 1, 2, 6, 4, 2, 9, 2, 2, 7, 2, 4, 4, 2, 1, 3, 1, 13, 5, 10, 1, 7, 5, 7, 6, 7, 8, 7, 4, 8, 1, 2, 7, 7, 10, 1, 3, 3, 5, 12, 13, 7, 12, 12, 2, 1, 8, 7, 5, 1, 1, 2, 5, 1, 2, 4, 3, 1, 11, 2, 2, 3, 6, 2, 1, 0]","[0, 1, 0, 20, 161, 200, 0, 1, 306, 387, 50, 50, 61, 360, 45, 127, 99, 225, 102, 216, 182, 84, 284, 246, 324, 144, 236, 220, 133, 12, 277, 478, 343, 373, 303, 255, 339, 126, 97, 354, 339, 165, 52, 152, 124, 291, 81, 230, 202, 345, 352, 208, 56, 24, 231, 114, 190, 317, 439, 345, 415, 463, 306, 69, 172, 37, 449, 303, 154, 432, 87, 338, 412, 314, 76, 375, 450, 208, 403, 291, 138, 264, 140, 270, 370, 476, 9, 206, 177, 439, 353, 421, 473, 480, 421, 124, 240, 446, 470, 481, 190, 483]",62.55953359603882,1.8953948020935059,robust,401.0
ubo100,4,2,STNU_robust,60,True,True,463.0,True,"[0, 2, 1, 3, 4, 11, 11, 5, 7, 11, 3, 2, 8, 6, 7, 10, 11, 1, 8, 3, 5, 1, 12, 13, 13, 10, 7, 1, 1, 6, 11, 2, 1, 3, 3, 9, 1, 5, 2, 4, 5, 1, 2, 3, 1, 3, 1, 2, 7, 1, 1, 1, 6, 7, 7, 5, 3, 7, 10, 8, 3, 8, 9, 7, 1, 1, 1, 1, 8, 5, 3, 2, 5, 2, 3, 4, 13, 11, 14, 8, 2, 6, 11, 13, 7, 1, 2, 1, 3, 6, 3, 11, 1, 1, 7, 2, 1, 1, 9, 3, 2, 0]","[0, 1, 0, 19, 146, 176, 0, 1, 286, 355, 42, 42, 54, 338, 35, 112, 81, 201, 91, 192, 158, 75, 263, 221, 304, 124, 214, 197, 118, 13, 262, 457, 320, 347, 283, 234, 319, 106, 79, 334, 319, 149, 45, 135, 104, 275, 72, 202, 178, 324, 332, 186, 48, 22, 207, 99, 163, 297, 416, 324, 393, 440, 286, 62, 150, 31, 426, 283, 138, 409, 76, 317, 380, 295, 69, 351, 427, 186, 379, 275, 122, 243, 124, 249, 344, 451, 11, 185, 155, 414, 333, 396, 450, 459, 397, 104, 216, 423, 448, 460, 163, 462]",62.55953359603882,1.8701205253601074,robust,391.0
ubo100,4,2,STNU_robust,60,True,True,455.0,True,"[0, 4, 1, 4, 11, 4, 2, 1, 7, 13, 3, 1, 4, 14, 6, 2, 2, 5, 14, 5, 14, 1, 10, 8, 6, 3, 6, 2, 4, 3, 4, 1, 1, 3, 3, 9, 3, 1, 1, 2, 7, 3, 7, 2, 1, 11, 2, 6, 7, 2, 2, 3, 2, 14, 4, 14, 4, 4, 6, 9, 4, 8, 4, 1, 5, 6, 1, 2, 6, 5, 10, 1, 5, 5, 3, 3, 14, 4, 7, 11, 8, 5, 8, 10, 8, 1, 2, 1, 3, 2, 9, 8, 5, 1, 5, 1, 7, 1, 7, 2, 2, 0]","[0, 1, 0, 15, 143, 180, 0, 1, 289, 357, 45, 45, 55, 332, 39, 117, 84, 205, 88, 196, 162, 72, 265, 227, 304, 127, 216, 201, 123, 12, 261, 451, 315, 349, 286, 235, 312, 117, 83, 330, 312, 148, 48, 135, 116, 275, 69, 210, 182, 319, 328, 190, 51, 19, 211, 102, 176, 300, 412, 319, 389, 435, 289, 59, 154, 33, 420, 286, 137, 405, 73, 311, 382, 296, 60, 354, 421, 190, 382, 275, 119, 245, 127, 251, 346, 449, 6, 189, 159, 410, 330, 393, 444, 452, 400, 116, 220, 419, 443, 453, 176, 455]",62.55953359603882,1.8184800148010254,robust,371.0
ubo100,4,2,STNU_robust,60,True,True,442.0,True,"[0, 11, 3, 5, 7, 8, 4, 3, 7, 13, 2, 3, 5, 12, 6, 5, 8, 1, 6, 4, 14, 3, 10, 13, 9, 7, 3, 2, 4, 3, 8, 2, 2, 3, 3, 10, 3, 9, 1, 1, 3, 1, 7, 1, 1, 4, 1, 5, 7, 1, 1, 1, 2, 3, 1, 8, 7, 3, 8, 7, 6, 1, 7, 3, 2, 4, 5, 1, 5, 3, 12, 1, 2, 3, 3, 7, 8, 8, 10, 5, 5, 6, 2, 8, 3, 2, 1, 1, 2, 8, 3, 2, 6, 1, 8, 2, 7, 1, 2, 2, 1, 0]","[0, 3, 0, 17, 132, 167, 0, 3, 275, 339, 41, 41, 51, 314, 35, 106, 85, 192, 87, 183, 146, 69, 257, 214, 289, 119, 199, 187, 112, 14, 251, 437, 302, 329, 272, 227, 299, 105, 84, 313, 299, 138, 44, 126, 101, 267, 66, 193, 167, 304, 311, 175, 47, 22, 198, 93, 160, 286, 393, 304, 370, 414, 275, 56, 139, 31, 401, 272, 127, 386, 72, 298, 364, 282, 59, 332, 406, 175, 360, 267, 114, 237, 119, 243, 326, 435, 10, 174, 144, 389, 312, 376, 429, 439, 378, 103, 207, 400, 415, 440, 160, 442]",62.55953359603882,1.8238768577575684,robust,360.0
ubo100,4,2,STNU_robust,60,True,True,460.0,True,"[0, 7, 2, 3, 7, 4, 5, 4, 5, 6, 1, 3, 2, 4, 6, 2, 7, 7, 11, 4, 15, 1, 2, 3, 3, 11, 10, 2, 10, 4, 6, 1, 2, 1, 2, 11, 7, 4, 1, 2, 11, 1, 9, 2, 1, 9, 2, 4, 4, 2, 2, 1, 3, 6, 1, 13, 3, 1, 13, 5, 12, 1, 2, 5, 7, 4, 5, 1, 1, 11, 5, 1, 5, 2, 5, 3, 13, 7, 14, 13, 6, 7, 3, 10, 7, 2, 2, 2, 2, 8, 7, 7, 7, 3, 9, 2, 6, 3, 9, 1, 1, 0]","[0, 2, 0, 17, 139, 177, 0, 2, 280, 338, 39, 39, 51, 324, 33, 109, 74, 202, 83, 193, 159, 67, 262, 223, 292, 125, 213, 197, 115, 13, 258, 454, 310, 331, 278, 226, 303, 109, 73, 321, 303, 149, 42, 136, 107, 264, 64, 209, 179, 314, 319, 185, 45, 20, 208, 94, 174, 291, 404, 314, 377, 435, 280, 54, 150, 29, 417, 278, 138, 393, 68, 302, 363, 285, 59, 335, 422, 185, 363, 265, 113, 241, 119, 248, 328, 452, 9, 183, 157, 404, 321, 389, 445, 455, 381, 107, 217, 412, 436, 458, 174, 460]",62.55953359603882,1.829371690750122,robust,360.0
