instance_folder,instance_id,noise_factor,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.04217886924743652,0.23395514488220215,quantile_0.9,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.034009456634521484,0.2707693576812744,quantile_0.9,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.03000950813293457,0.20599603652954102,quantile_0.9,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",26.0
j10,1,1,26.0,reactive_quantile_0.9,1,60,1,True,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 19, 12, 24, 12, 5, 26]",0.03299999237060547,0.17916584014892578,quantile_0.9,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.03148055076599121,0.2353498935699463,quantile_0.9,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",26.0
j10,1,1,26.0,reactive_quantile_0.9,1,60,1,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 9, 12, 24, 12, 5, 26]",0.03019547462463379,0.1667022705078125,quantile_0.9,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.029996395111083984,0.20280194282531738,quantile_0.9,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.02999734878540039,0.20203638076782227,quantile_0.9,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.9,1,60,1,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.030996084213256836,0.19899964332580566,quantile_0.9,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",28.0
j10,1,1,26.0,reactive_quantile_0.9,1,60,1,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 10, 12, 24, 12, 5, 26]",0.029997825622558594,0.17199063301086426,quantile_0.9,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",26.0
