instance_folder,instance_id,noise_factor,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations,obj_pi
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.03357958793640137,0.22906231880187988,quantile_0.5,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.029385805130004883,0.26140332221984863,quantile_0.5,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.02997422218322754,0.20289874076843262,quantile_0.5,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",26.0
j10,1,1,26.0,reactive_quantile_0.5,2,60,1,True,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 19, 12, 24, 12, 5, 26]",0.03099679946899414,0.1713118553161621,quantile_0.5,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.027999401092529297,0.22135305404663086,quantile_0.5,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",26.0
j10,1,1,26.0,reactive_quantile_0.5,2,60,1,True,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 9, 12, 24, 12, 5, 26]",0.029984712600708008,0.15779376029968262,quantile_0.5,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.029992341995239258,0.19965028762817383,quantile_0.5,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.030553817749023438,0.19797897338867188,quantile_0.5,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",26.0
j10,1,1,29.0,reactive_quantile_0.5,2,60,1,True,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]",0.028999805450439453,0.19176530838012695,quantile_0.5,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",28.0
j10,1,1,26.0,reactive_quantile_0.5,2,60,1,True,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 0, 0, 0, 7, 10, 12, 24, 12, 5, 26]",0.028998136520385742,0.17702102661132812,quantile_0.5,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",26.0
j10,3,1,37.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",0.03135561943054199,0.2219240665435791,quantile_0.5,"[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]",33.0
j10,3,1,37.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]",0.031000614166259766,0.143096923828125,quantile_0.5,"[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]",35.0
j10,3,1,39.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 8, 0, 17, 23, 11, 20, 21, 26, 27, 23, 37]",0.031005382537841797,0.19299983978271484,quantile_0.5,"[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]",36.0
j10,3,1,37.0,reactive_quantile_0.5,2,60,1,True,"[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 8, 0, 17, 23, 11, 20, 21, 26, 27, 23, 37]",0.031001806259155273,0.19800043106079102,quantile_0.5,"[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]",33.0
