,instance_folder,instance_id,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
0,ubo50,1,"[0, 2, 3, 6, 8, 3, 6, 7, 5, 4, 2, 6, 3, 10, 6, 3, 3, 10, 6, 7, 8, 2, 7, 7, 2, 5, 4, 8, 7, 8, 2, 8, 6, 3, 2, 6, 3, 2, 6, 3, 5, 3, 5, 3, 6, 9, 2, 2, 6, 6, 9, 0]",60,0.004,Infeasible,,
1,ubo50,2,"[0, 1, 3, 1, 2, 5, 1, 7, 8, 4, 4, 5, 7, 7, 2, 10, 5, 3, 9, 10, 2, 2, 2, 4, 7, 4, 3, 2, 6, 4, 5, 10, 1, 2, 5, 8, 4, 5, 1, 5, 9, 3, 6, 8, 8, 3, 5, 3, 5, 9, 9, 0]",60,0.004,Infeasible,,
2,ubo50,3,"[0, 5, 7, 7, 2, 2, 6, 9, 9, 8, 1, 8, 5, 3, 5, 8, 8, 9, 8, 2, 7, 5, 9, 7, 2, 3, 6, 9, 8, 4, 7, 10, 6, 8, 2, 2, 2, 9, 9, 10, 6, 4, 5, 7, 6, 6, 5, 2, 5, 7, 1, 0]",60,60.0,Feasible,0.282178,202.0
3,ubo50,4,"[0, 9, 8, 4, 2, 2, 5, 8, 8, 4, 1, 3, 4, 6, 7, 4, 7, 5, 8, 9, 7, 4, 5, 10, 6, 1, 1, 3, 1, 9, 7, 9, 2, 9, 10, 6, 10, 8, 10, 1, 8, 1, 3, 4, 8, 8, 1, 9, 6, 2, 10, 0]",60,60.0,Feasible,0.364055,217.0
4,ubo50,5,"[0, 8, 6, 3, 8, 1, 10, 4, 6, 1, 9, 2, 5, 2, 6, 8, 6, 2, 9, 1, 4, 5, 8, 6, 4, 9, 4, 4, 5, 10, 3, 6, 1, 9, 4, 10, 8, 10, 2, 10, 5, 1, 1, 10, 1, 1, 7, 8, 5, 6, 5, 0]",60,60.0,Unknown,,
5,ubo50,6,"[0, 4, 8, 8, 8, 1, 6, 9, 3, 9, 8, 8, 3, 6, 9, 8, 4, 3, 10, 4, 2, 7, 5, 3, 7, 1, 8, 9, 1, 2, 9, 6, 1, 5, 9, 7, 6, 9, 7, 9, 9, 4, 2, 8, 2, 2, 9, 7, 7, 3, 2, 0]",60,1.725,Optimal,0.0,213.0
6,ubo50,7,"[0, 5, 9, 2, 2, 8, 2, 5, 2, 4, 9, 9, 9, 8, 8, 10, 6, 4, 5, 8, 8, 8, 8, 5, 9, 1, 5, 8, 1, 4, 8, 3, 1, 9, 1, 4, 3, 10, 9, 10, 3, 6, 2, 6, 1, 9, 3, 3, 3, 8, 8, 0]",60,0.003,Infeasible,,
7,ubo50,8,"[0, 1, 6, 5, 7, 8, 5, 5, 8, 5, 9, 3, 8, 3, 1, 4, 3, 10, 5, 2, 8, 2, 5, 2, 6, 6, 1, 7, 10, 1, 8, 1, 2, 9, 4, 10, 1, 3, 3, 5, 2, 9, 3, 7, 7, 6, 1, 3, 4, 9, 5, 0]",60,60.0,Unknown,,
8,ubo50,9,"[0, 10, 4, 4, 2, 6, 6, 4, 8, 1, 3, 2, 1, 8, 8, 2, 6, 7, 8, 5, 1, 3, 2, 1, 2, 6, 8, 10, 4, 2, 10, 5, 6, 8, 5, 10, 7, 2, 5, 2, 5, 2, 8, 2, 3, 9, 9, 9, 9, 4, 10, 0]",60,20.149,Optimal,0.0,194.0
9,ubo50,10,"[0, 2, 10, 2, 2, 6, 9, 2, 8, 10, 8, 7, 9, 8, 3, 2, 10, 9, 1, 2, 4, 2, 2, 1, 9, 6, 1, 7, 5, 4, 10, 3, 1, 2, 1, 4, 8, 5, 5, 2, 4, 3, 10, 4, 10, 4, 4, 7, 10, 2, 6, 0]",60,60.0,Feasible,0.316062,193.0
